Substation,Final Substation Name
Hill City,Hill City
Stuyvesant,Stuyvesant
Coello,Coello
Mine 24,Mine 24
Martin,Martin
Petroff,Petroff
Sun Creek,Sun Creek
Sesser,Sesser
Gordon,Gordon
Robinson,Robinson
Stoy,Stoy
Dorsey,Dorsey
Palestine,Palestine
North Robinson,North Robinson
Hutsonville,Hutsonville
Ina,Ina
Woodlawn,Woodlawn
Camp Ground,Camp Ground
Abbott,Abbott
Four Fiddy,Four Fiddy
Olin,Olin
Short,Short
Vaught,Vaught
Vernon,Vernon
Blu,Blu
Envy,Envy
Shiloh,Shiloh
Nubby,Nubby
North Henry,North Henry
Lacon,Lacon
Farmville,Farmville
Cornell St,Cornell St
Bnorris,Bnorris
Brownsville,Brownsville
Sobo,Sobo
Forty Five,Forty Five
Border,Border
Grayville,Grayville
Crossville,Crossville
Wood Slough,Wood Slough
Rushville,Rushville
Whiteside,Whiteside
Bluff Road,Bluff Road
Soco,Soco
Valmeyer,Valmeyer
Camel,Camel
Toddhall,Toddhall
Canton,Canton
Corporation,Corporation
Van Winkle,Van Winkle
Farmington,Farmington
David Banner,David Banner
Lewiston,Lewiston
Maple Mills,Maple Mills
Cuba,Cuba
Astoria,Astoria
Table Grove,Table Grove
Vermont,Vermont
Marble Town,Marble Town
Galva,Galva
Nekoma,Nekoma
Alpha,Alpha
Cambridge,Cambridge
Atkinson,Atkinson
Petersburg,Petersburg
Greenview,Greenview
Athens,Athens
Pleasant Plains,Pleasant Plains
Meredosia,Meredosia
Woodson,Woodson
Frankie,Frankie
Anna,Anna
Waverly,Waverly
Ziggy,Ziggy
Ham Sand,Ham Sand
Basco,Basco
Augusta,Augusta
Carthage,Carthage
Adrian,Adrian
Hacker,Hacker
Red Bud,Red Bud
Dean,Dean
Ruma,Ruma
Baldwin,Baldwin
Tilden,Tilden
Ferrero,Ferrero
Coulterville,Coulterville
Lampe,Lampe
De Soto,De Soto
Murphysboro,Murphysboro
Springer Ridge,Springer Ridge
Elkville,Elkville
Soha,Soha
Edgar,Edgar
Elbridge,Elbridge
Grandview,Grandview
NE Paris,NE Paris
900 N,900 N
Barnes,Barnes
Weldon,Weldon
Clinton,Clinton
Fullerton,Fullerton
